camis,first_inspection,last_inspection,active_days,grade,boro,score,cuisine_description,year_opened,duration_group
30075445,2023-01-31,2024-11-08,647,A,Bronx,10.0,Bakery Products/Desserts,2023,1-2yr
30191841,2023-04-23,2025-02-20,669,A,Manhattan,10.0,Irish,2023,1-2yr
40356018,2022-02-01,2024-04-16,805,N,Brooklyn,21.0,American,2022,2-3yr
40356483,2022-01-24,2025-01-06,1078,A,Brooklyn,12.0,Sandwiches,2022,2-3yr
40356731,2023-01-17,2025-04-30,834,A,Brooklyn,12.0,Frozen Desserts,2023,2-3yr
40357217,2021-07-28,2024-05-21,1028,A,Bronx,12.0,American,2021,2-3yr
40359480,2019-10-01,2022-05-03,945,A,Manhattan,9.0,American,2019,2-3yr
40359705,2022-02-10,2024-07-24,895,N,Brooklyn,51.0,Hotdogs,2022,2-3yr
40360045,2022-01-05,2024-07-29,936,A,Brooklyn,5.0,Jewish/Kosher,2022,2-3yr
40361618,2022-02-01,2024-09-16,958,A,Queens,12.0,Sandwiches,2022,2-3yr
40361998,2021-08-11,2024-03-07,939,N,Queens,21.0,Sandwiches,2021,2-3yr
40362264,2022-08-16,2025-03-27,954,A,Manhattan,13.0,American,2022,2-3yr
40362274,2022-02-14,2023-06-21,492,A,Manhattan,11.0,American,2022,1-2yr
40362432,2022-10-25,2024-11-12,749,A,Queens,9.0,Chinese,2022,2-3yr
40362869,2022-03-09,2024-10-18,954,A,Brooklyn,9.0,Caribbean,2022,2-3yr
40363298,2022-08-19,2025-05-01,986,A,Manhattan,13.0,American,2022,2-3yr
40363427,2021-08-11,2024-04-29,992,A,Staten Island,11.0,Sandwiches,2021,2-3yr
40363834,2021-08-02,2024-04-04,976,A,Staten Island,3.0,Frozen Desserts,2021,2-3yr
40363920,2022-02-16,2024-07-03,868,A,Brooklyn,10.0,Chinese,2022,2-3yr
40364179,2023-03-05,2024-07-10,493,A,Manhattan,12.0,Soul Food,2023,1-2yr
40364220,2022-08-24,2025-06-11,1022,N,Brooklyn,32.0,Jewish/Kosher,2022,2-3yr
40364296,2023-03-20,2025-03-20,731,A,Bronx,11.0,Chinese,2023,2-3yr
40364305,2023-01-12,2024-12-19,707,A,Brooklyn,7.0,Pizza,2023,1-2yr
40364335,2022-01-04,2024-09-30,1000,A,Brooklyn,12.0,Steakhouse,2022,2-3yr
40364347,2022-04-12,2024-10-29,931,A,Manhattan,8.0,American,2022,2-3yr
40364373,2022-02-16,2024-09-10,937,N,Manhattan,26.0,Italian,2022,2-3yr
40364389,2022-07-20,2025-02-26,952,A,Manhattan,10.0,American,2022,2-3yr
40364439,2021-08-04,2023-05-17,651,A,Manhattan,12.0,Latin American,2021,1-2yr
40364443,2022-08-08,2025-04-11,977,N,Manhattan,24.0,American,2022,2-3yr
40364449,2024-09-13,2025-05-15,244,A,Queens,12.0,German,2024,<1yr
40364467,2023-04-05,2025-01-29,665,A,Manhattan,4.0,American,2023,1-2yr
40364518,2022-03-09,2024-01-26,688,A,Manhattan,12.0,American,2022,1-2yr
40364531,2023-04-07,2025-03-17,710,A,Manhattan,9.0,American,2023,1-2yr
40364572,2022-02-08,2024-10-23,988,A,Manhattan,10.0,Steakhouse,2022,2-3yr
40364581,2023-02-27,2024-12-10,652,A,Brooklyn,11.0,American,2023,1-2yr
40364715,2023-03-23,2023-03-23,0,A,Manhattan,12.0,American,2023,
40364744,2021-08-05,2023-12-04,851,A,Queens,10.0,Pizza,2021,2-3yr
40364858,2017-08-16,2019-11-20,826,A,Queens,5.0,American,2017,2-3yr
40364956,2023-08-10,2025-05-12,641,A,Bronx,12.0,American,2023,1-2yr
40365013,2022-02-07,2024-10-05,971,A,Staten Island,8.0,Italian,2022,2-3yr
40365075,2021-08-04,2023-08-17,743,A,Manhattan,12.0,Irish,2021,2-3yr
40365120,2022-07-28,2024-07-08,711,A,Staten Island,12.0,American,2022,1-2yr
40365166,2023-05-16,2025-06-10,756,A,Manhattan,10.0,American,2023,2-3yr
40365239,2022-01-03,2024-03-14,801,A,Manhattan,10.0,Irish,2022,2-3yr
40365264,2021-08-12,2023-03-29,594,A,Manhattan,12.0,French,2021,1-2yr
40365288,2022-12-21,2024-10-09,658,A,Manhattan,12.0,American,2022,1-2yr
40365387,2022-02-14,2023-03-20,399,A,Manhattan,7.0,Italian,2022,1-2yr
40365499,2023-03-23,2025-06-02,802,N,Bronx,37.0,American,2023,2-3yr
40365525,2022-04-19,2024-12-27,983,A,Manhattan,11.0,Donuts,2022,2-3yr
40365546,2022-12-08,2025-04-02,846,A,Brooklyn,13.0,Spanish,2022,2-3yr
40365577,2022-05-23,2024-09-18,849,N,Manhattan,33.0,Italian,2022,2-3yr
40365627,2022-01-04,2024-12-09,1070,A,Queens,12.0,American,2022,2-3yr
40365632,2022-08-16,2025-03-27,954,A,Brooklyn,11.0,Pizza,2022,2-3yr
40365644,2022-02-09,2025-01-28,1084,A,Manhattan,12.0,American,2022,2-3yr
40365726,2022-10-26,2024-07-11,624,A,Manhattan,13.0,Italian,2022,1-2yr
40365784,2021-08-26,2024-02-23,911,A,Brooklyn,12.0,Italian,2021,2-3yr
40365789,2022-02-09,2023-12-28,687,A,Manhattan,13.0,Italian,2022,1-2yr
40365841,2023-05-24,2025-06-03,741,N,Queens,34.0,Italian,2023,2-3yr
40365844,2022-08-31,2024-06-26,665,A,Queens,10.0,Other,2022,1-2yr
40365871,2022-02-01,2024-05-16,835,N,Manhattan,27.0,American,2022,2-3yr
40365882,2023-01-26,2025-04-14,809,A,Manhattan,13.0,Pizza,2023,2-3yr
40365904,2022-06-27,2025-05-05,1043,N,Manhattan,21.0,Coffee/Tea,2022,2-3yr
40365938,2023-01-12,2025-04-24,833,N,Queens,28.0,American,2023,2-3yr
40365942,2022-01-13,2025-01-06,1089,A,Manhattan,10.0,Chinese,2022,2-3yr
40365968,2022-03-08,2024-09-24,931,A,Manhattan,10.0,American,2022,2-3yr
40365972,2021-07-29,2024-04-16,992,A,Queens,10.0,American,2021,2-3yr
40366002,2022-12-19,2025-04-07,840,A,Queens,10.0,Pizza,2022,2-3yr
40366054,2022-01-06,2024-07-22,928,A,Queens,4.0,American,2022,2-3yr
40366109,2022-11-03,2023-12-27,419,B,Brooklyn,25.0,American,2022,1-2yr
40366132,2021-07-26,2024-01-19,907,A,Staten Island,10.0,Pizza,2021,2-3yr
40366154,2024-01-31,2025-06-05,491,A,Brooklyn,12.0,Italian,2024,1-2yr
