cuisine_description,Bronx,Brooklyn,Manhattan,Queens,Staten Island
American,12.058064516129033,13.429832303618712,12.334779179810726,12.915846994535519,13.134969325153374
Chinese,13.4875,14.07197549770291,16.8714859437751,16.793628808864266,14.966666666666667
Coffee/Tea,12.518072289156626,11.842560553633218,11.346938775510203,12.381381381381381,12.651162790697674
Pizza,13.578313253012048,13.285371702637889,14.414686825053996,13.744186046511627,13.891891891891891
Mexican,14.127659574468085,14.469055374592834,13.382252559726963,14.532520325203253,16.20689655172414
Japanese,15.714285714285714,13.493562231759658,14.420542635658915,14.152631578947368,15.46808510638298
Italian,14.428571428571429,11.86413043478261,13.731497418244405,14.387387387387387,14.782051282051283
Latin American,15.785714285714286,15.837837837837839,15.505376344086022,17.75,14.0
Bakery Products/Desserts,12.505882352941176,12.695852534562212,12.318339100346021,14.469924812030076,9.633333333333333
Caribbean,16.81081081081081,16.530898876404493,17.18867924528302,16.51101321585903,9.5
